obs.ID,trip.ID,date,name,milkweed.ID,milkweed.status,percent.green,stage.length,leaf.damage,umbel.count,pod.count,stem.count,len.1,len.2,len.3,len.4,len.5,len.6,len.7,len.8,len.9,len.10,dia.1,dia.2,dia.3,dia.4,dia.5,dia.6,dia.7,dia.8,dia.9,dia.10,notes,,,,,,,,,,,
,7,4/16/2015,Arden Ambrose-Winters,83,ALIVE,100,none,1,0,0,7,20,21,33,47,51,55,52,,,,5,3.5,5,3.5,4.5,5,5,,,,2 snails,,,,,,,,,,,
,7,4/16/2015,Arden Ambrose-Winters,85,ALIVE,95,none,7,0,0,4,13,34,27,16,,,,,,,2,2.4,2.1,1.5,,,,,,,nymph milk weed bug,,,,,,,,,,,
,7,4/16/2015,Arden Ambrose-Winters,86,ALIVE,100,none,0,0,0,3,13,19,17,,,,,,,,1.7,1.8,1.8,,,,,,,,nothing,,,,,,,,,,,
,7,4/16/2015,Arden Ambrose-Winters,87,ALIVE,100,none,0.5,0,0,1,14,,,,,,,,,,2.4,,,,,,,,,,small red arachnid,,,,,,,,,,,
,7,4/16/2015,Arden Ambrose-Winters,88,ALIVE,100,none,1,0,0,2,17,19,,,,,,,,,3.6,2.8,,,,,,,,,nothing,,,,,,,,,,,
,7,4/16/2015,Arden Ambrose-Winters,282,ALIVE,95,none,0,0,0,1,39,,,,,,,,,,3.3,,,,,,,,,,white area on tip of one leaf,,,,,,,,,,,
,7,4/16/2015,Arden Ambrose-Winters,283,ALIVE,100,none,1,0,0,2,53,22,,,,,,,,,3.4,3.2,,,,,,,,,4 earwigs,,,,,,,,,,,
,7,4/16/2015,Arden Ambrose-Winters,284,ALIVE,100,none,2,0,0,2,13,14,,,,,,,,,1.5,2.3,,,,,,,,,wilted off color,,,,,,,,,,,
,7,4/16/2015,Arden Ambrose-Winters,285,ALIVE,100,none,90,0,0,1,29,,,,,,,,,,3.2,,,,,,,,,,"3 earwigs,2 dead,1 spider and egg sack",,,,,,,,,,,
,7,4/16/2015,Arden Ambrose-Winters,287,ALIVE,100,none,0,0,0,1,21,,,,,,,,,,2.8,,,,,,,,,,nothing,,,,,,,,,,,
,4,4/17/2015,Giulia McIsaac,8,ALIVE,40,none,5,0,0,1,27.8,,,,,,,,,,7.83,,,,,,,,,,"3 leaves chewed,1 stem dead,several yellowing leaves on live stem",,,,,,,,,,,
,4,4/17/2015,Giulia McIsaac,9,ALIVE,50,L2-5.2,8,0,0,1,9.5,,,,,,,,,,2.46,,,,,,,,,,"1 dead stem,yellowing leaves on live stem",,,,,,,,,,,
,4,4/17/2015,Giulia McIsaac,10,DEAD,0,none,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,4/17/2015,Scott Lucio,11,ALIVE,50,none,0,0,0,1,16.4,,,,,,,,,,2.06,,,,,,,,,,,,,,,,,,,,,
,4,4/17/2015,Scott Lucio,12,ALIVE,95,none,8,0,0,5,6.6,5.2,11.6,10.2,2.4,,,,,,1.95,1.82,2.12,1.32,1.23,,,,,,Hatched egg but no caterpillar,,,,,,,,,,,
,2,4/17/2015,Makaila Stritzel,75,ALIVE,98,none,1,0,0,4,61,60,54,27,,,,,,,9.8,5.4,6.4,3,,,,,,,,,,,,,,,,,,
,2,4/17/2015,Makaila Stritzel,76,ALIVE,99,none,1,0,0,4,44,31,26,26,,,,,,,7.7,4.9,4.1,4.1,,,,,,,,,,,,,,,,,,
,2,4/17/2015,Makaila Stritzel,77,ALIVE,99,none,1,0,0,2,35,28,,,,,,,,,3.6,2.7,,,,,,,,,,,,,,,,,,,,
,2,4/17/2015,Makaila Stritzel,83,ALIVE,95,none,2,0,0,8,47,22,24,32,52,51,53,,,,4.1,4.5,5.4,4.8,4.6,3.3,4.6,5,,,,,,,,,,,,,,
,4,4/17/2015,Howie Yu,204,ALIVE,100,none,0,0,0,3,2.7,1.5,1.3,,,,,,,,2.25,1.73,1.22,,,,,,,,Yllow Jacket nset (1),,,,,,,,,,,
,4,4/17/2015,Howie Yu,205,ALIVE,98,none,0,0,0,3,14.5,10,19.8,,,,,,,,1.07,1.1,1.38,,,,,,,,Lady Bugs,,,,,,,,,,,
,4,4/17/2015,Howie Yu,207,ALIVE,75,none,5,0,0,3,2.55,13.2,7.4,,,,,,,,2.3,1.55,1.6,,,,,,,,,,,,,,,,,,,
,4,4/17/2015,Scott Lucio,210,ALIVE,66,none,1,0,0,2,13.1,23.8,,,,,,,,,1.56,1.32,,,,,,,,,,,,,,,,,,,,
,4,4/17/2015,Scott Lucio,211,DEAD,0,none,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Dead,,,,,,,,,,,
,2,4/17/2015,Makaila Stritzel,270,ALIVE,99,none,3,0,0,2,21,12,,,,,,,,,3.5,2.6,,,,,,,,,,,,,,,,,,,,
,2,4/17/2015,Makaila Stritzel,271,ALIVE,97,none,5,0,0,3,54,38,23,,,,,,,,3.6,4.5,2.9,,,,,,,,,,,,,,,,,,,
,2,4/17/2015,Makaila Stritzel,272,ALIVE,99,none,2,0,0,2,14,17.5,,,,,,,,,2,2.8,,,,,,,,,photo taken of mystery bug. wasp in plant sleeve ,,,,,,,,,,,
,2,4/17/2015,Makaila Stritzel,273,ALIVE,100,none,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,2,4/17/2015,Makaila Stritzel,276,ALIVE,96,none,3,0,0,1,11,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,
,2,4/17/2015,Makaila Stritzel,277,ALIVE,50,none,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,4/18/2015,Kelly Strickland,507,ALIVE,100,none,0,0,0,5,8,5,3,4,3,,,,,,1.3,1.4,0.7,0.5,0.5,,,,,,,,,,,,,,,,,
,3,4/18/2015,Kelly Strickland,508,ALIVE,100,L2-1.9,15,0,0,3,4,7,3,,,,,,,,1.5,2.1,1.6,,,,,,,,,,,,,,,,,,,
,3,4/18/2015,Kelly Strickland,509,ALIVE,100,none,0,0,0,1,22,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,
,3,4/18/2015,Kelly Strickland,510,ALIVE,100,none,0,0,0,1,13,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,
,3,4/18/2015,Kelly Strickland,511,ALIVE,100,none,0,0,0,3,30,6,5,,,,,,,,1.7,0.9,0.8,,,,,,,,,,,,,,,,,,,
,3,4/18/2015,Kelly Strickland,512,N.E.,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,3,4/18/2015,Kelly Strickland,513,ALIVE,98,none,0,0,0,2,48,46,,,,,,,,,2.9,2.5,,,,,,,,,,,,,,,,,,,,
,3,4/18/2015,Kelly Strickland,514,ALIVE,85,none,0,0,0,4,31,30,29,32,,,,,,,1.5,1.5,1.5,1.3,,,,,,,,,,,,,,,,,,
,3,4/18/2015,Kelly Strickland,515,ALIVE,100,none,0,0,0,2,21,16,,,,,,,,,4.4,2.6,,,,,,,,,,,,,,,,,,,,
,3,4/18/2015,Kelly Strickland,516,N.E.,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,6,4/19/2015,Delaney Coleman,11,ALIVE,100,none,0,0,0,1,15.5,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,
,6,4/19/2015,Delaney Coleman,12,ALIVE,100,none,2,0,0,3,12,11,14,,,,,,,,1.6,1.5,2,,,,,,,,Hatched egg on top of leaf,,,,,,,,,,,
,6,4/19/2015,Delaney Coleman,13,ALIVE,99,none,0,0,0,1,22,,,,,,,,,,0.8,,,,,,,,,,pincher bug colony,,,,,,,,,,,
,6,4/19/2015,Delaney Coleman,25,ALIVE,100,L2-12.7,5,0,0,2,38,35,,,,,,,,,3,2.2,,,,,,,,,LMB-2,,,,,,,,,,,
,6,4/19/2015,Delaney Coleman,27,ALIVE,100,none,1,0,0,2,13,9,,,,,,,,,0.6,1.8,,,,,,,,,mite,,,,,,,,,,,
,6,4/19/2015,Delaney Coleman,30,ALIVE,100,none,0,0,0,2,,,,,,,,,,,1.6,1.6,,,,,,,,,"mite,spider(crab?),SMB",,,,,,,,,,,
,6,4/19/2015,Delaney Coleman,36,ALIVE,100,E,1,0,0,3,20,23,18.5,,,,,,,,2,2.5,2.2,,,,,,,,"mite,hatched egg",,,,,,,,,,,
,6,4/19/2015,Delaney Coleman,37,ALIVE,75,L5-24,1,0,0,3,45.5,50,19,,,,,,,,2.6,4.5,2.9,,,,,,,,"frass,bottom,is senescing,cat. found 1.5 ft from plant",,,,,,,,,,,
,6,4/19/2015,Delaney Coleman,38,ALIVE,100,none,10,0,0,1,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,
,1,4/19/2015,Kenya Oto,189,ALIVE,97,none,0,0,0,3,12,24,30,,,,,,,,1.8,1.8,2.2,,,,,,,,Al Tag Missing,,,,,,,,,,,
,1,4/19/2015,Kenya Oto,190,ALIVE,95,none,3,0,0,2,21,23,,,,,,,,,2.7,2.8,,,,,,,,,Al Tag Missing,,,,,,,,,,,
,1,4/19/2015,Kenya Oto,191,ALIVE,95,none,0,0,0,3,14,20,20,,,,,,,,1.6,1,0.8,,,,,,,,Al Tag Missing,,,,,,,,,,,
,1,4/19/2015,Kenya Oto,192,ALIVE,90,none,0,0,0,0,8,,,,,,,,,,1.6,,,,,,,,,,Al Tag Missing,,,,,,,,,,,
,1,4/19/2015,Kenya Oto,193,ALIVE,100,none,0,0,0,1,10,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,
,1,4/19/2015,Kenya Oto,194,ALIVE,100,none,0,0,0,3,10,10,12,,,,,,,,1.6,2.1,2.4,,,,,,,,Al Tag Missing,,,,,,,,,,,
,1,4/19/2015,Kenya Oto,195,ALIVE,90,none,0,0,0,0,4,2,,,,,,,,,0.9,0.9,,,,,,,,,Al Tag Missing,,,,,,,,,,,
,1,4/19/2015,Kenya Oto,196,ALIVE,95,none,0,0,0,2,10,12,,,,,,,,,1.4,1.5,,,,,,,,,,,,,,,,,,,,
,1,4/19/2015,Kenya Oto,197,ALIVE,100,none,0,0,0,1,8,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,
59,1,4/19/2015,Kenya Oto,198,ALIVE,90,none,0,0,0,1,25,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,
60,6,4/19/2015,Delaney Coleman,222,ALIVE,99,none,4,0,0,3,30,25,37,,,,,,,,3.5,2.8,,,,,,,,,"ants,spiders,SMB,wasp nest",,,,,,,,,,,
61,5,4/20/2015,Kelly Goedde-Matthews,485,ALIVE,95,none,2,0,0,1,33,,,,,,,,,,2,,,,,,,,,,"snail,FIELD PRACTICE",,,,,,,,,,,
62,5,4/20/2015,Kelly Goedde-Matthews,486,ALIVE,40,none,0,0,0,1,20,,,,,,,,,,5,,,,,,,,,,"snail,FIELD PRACTICE",,,,,,,,,,,
63,5,4/20/2015,Kelly Goedde-Matthews,489,ALIVE,60,none,0,1,0,1,44,,,,,,,,,,4,,,,,,,,,,FIELD PRACTICE,,,,,,,,,,,
64,5,4/20/2015,Kelly Goedde-Matthews,490,N.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELD PRACTICE,,,,,,,,,,,
65,5,4/20/2015,Kelly Goedde-Matthews,491,ALIVE,80,L2-9,30,1,0,1,13,,,,,,,,,,3,,,,,,,,,,FIELD PRACTICE,,,,,,,,,,,
66,5,4/20/2015,Kelly Goedde-Matthews,492,ALIVE,85,none,0,2,0,3,31,17,19,,,,,,,,2.2,1.8,1.3,,,,,,,,FIELD PRACTICE,,,,,,,,,,,
67,5,4/20/2015,Kelly Goedde-Matthews,493,ALIVE,95,none,5,1,0,2,11,8,,,,,,,,,2,1.7,,,,,,,,,FIELD PRACTICE,,,,,,,,,,,
68,5,4/20/2015,Kelly Goedde-Matthews,496,ALIVE,65,none,15,1,0,1,36,,,,,,,,,,4.4,,,,,,,,,,"orb weaving spider,FIELD PRACTICE",,,,,,,,,,,
69,5,4/20/2015,Kelly Goedde-Matthews,497,ALIVE,90,none,0,2,0,2,28,18,,,,,,,,,1,1.5,,,,,,,,,,,,,,,,,,,,
70,5,4/20/2015,Kelly Goedde-Matthews,499,ALIVE,95,L4-13,0,2,0,1,30,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,
71,8,4/27/2015,Kelly Goedde-Matthews,199,ALIVE,80,none,0,0,0,3,39.5,39.7,38.9,,,,,,,,3.7,3,3,,,,,,,,SMMB (1),,,,,,,,,,,
72,8,4/27/2015,Kelly Goedde-Matthews,200,ALIVE,65,none,0,1,0,3,50.5,4,6,,,,,,,,3.2,3.8,1.2,,,,,,,,SMMB (3),,,,,,,,,,,
73,8,4/27/2015,Kelly Goedde-Matthews,201,N.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,8,4/27/2015,Kelly Goedde-Matthews,202,DEAD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,8,4/27/2015,Kelly Goedde-Matthews,203,ALIVE,100,none,0,0,0,2,27.2,30.3,,,,,,,,,4,2.9,,,,,,,,,,,,,,,,,,,,
76,8,4/27/2015,Kelly Goedde-Matthews,204,ALIVE,100,none,0,0,0,3,7.1,4.8,3.5,,,,,,,,1.9,1.4,1.2,,,,,,,,,,,,,,,,,,,
77,8,4/27/2015,Kelly Goedde-Matthews,205,ALIVE,85,none,0,2,0,2,12.5,20.8,,,,,,,,,0.8,2.2,,,,,,,,,,,,,,,,,,,,
78,8,4/27/2015,Kelly Goedde-Matthews,206,ALIVE,60,none,0,0,0,2,4.5,6,,,,,,,,,1.5,1.7,,,,,,,,,,,,,,,,,,,,
79,8,4/27/2015,Kelly Goedde-Matthews,207,ALIVE,75,none,0,0,0,4,5.3,7.8,12,14.5,,,,,,,1.5,1.8,1.3,2.2,,,,,,,,,,,,,,,,,,
